start_time,end_time,dx_range,dy_range,dz_range
336.541,363.165,"(-0.0413, 0.05699999999999999)","(-0.0606, 0.032)","(-0.0798, 0.02690000000000001)"
363.709,366.49300000000005,"(-0.0358, 0.05209999999999998)","(-0.0573, 0.027600000000000013)","(-0.07369999999999999, 0.015699999999999992)"
339.476,363.165,"(-0.0413, 0.05699999999999999)","(-0.0606, 0.032)","(-0.0798, 0.02690000000000001)"
363.709,369.42800000000005,"(-0.0358, 0.05269999999999997)","(-0.057900000000000014, 0.027600000000000013)","(-0.07369999999999999, 0.01730000000000001)"
345.496,363.165,"(-0.037500000000000006, 0.05699999999999999)","(-0.058799999999999984, 0.029)","(-0.0798, 0.023300000000000015)"
363.709,375.478,"(-0.0416, 0.0549)","(-0.05829999999999999, 0.029700000000000008)","(-0.07529999999999999, 0.022800000000000015)"
351.45599999999985,363.165,"(-0.037500000000000006, 0.05699999999999999)","(-0.057499999999999975, 0.029)","(-0.0798, 0.023300000000000015)"
363.709,381.347,"(-0.0416, 0.0549)","(-0.05829999999999999, 0.029700000000000008)","(-0.07529999999999999, 0.02300000000000002)"
354.51199999999994,363.165,"(-0.037500000000000006, 0.05699999999999999)","(-0.057499999999999975, 0.029)","(-0.0798, 0.023300000000000015)"
363.709,384.37300000000016,"(-0.0416, 0.0549)","(-0.0591, 0.029700000000000008)","(-0.07529999999999999, 0.023799999999999988)"
360.714,363.165,"(-0.037500000000000006, 0.0469)","(-0.0567, 0.029)","(-0.0744, 0.0214)"
363.709,390.636,"(-0.0416, 0.0549)","(-0.0591, 0.029700000000000008)","(-0.07529999999999999, 0.023799999999999988)"
363.709,390.63599999999997,"(-0.0416, 0.0549)","(-0.0591, 0.029700000000000008)","(-0.07529999999999999, 0.023799999999999988)"
367.06699999999995,396.657,"(-0.0416, 0.0549)","(-0.05939999999999999, 0.029700000000000008)","(-0.07569999999999999, 0.023799999999999988)"
370.425,399.954,"(-0.0416, 0.0549)","(-0.05939999999999999, 0.029700000000000008)","(-0.0765, 0.023799999999999988)"
375.963,405.733,"(-0.038999999999999986, 0.05359999999999998)","(-0.05939999999999999, 0.029099999999999987)","(-0.0776, 0.023799999999999988)"
382.619,412.449,"(-0.038999999999999986, 0.05359999999999998)","(-0.06059999999999999, 0.029099999999999987)","(-0.0776, 0.023799999999999988)"
385.341,415.142,"(-0.041899999999999986, 0.05390000000000003)","(-0.06059999999999999, 0.029099999999999987)","(-0.0776, 0.02299999999999999)"
388.397,418.379,"(-0.041899999999999986, 0.05390000000000003)","(-0.06059999999999999, 0.029099999999999987)","(-0.0776, 0.02299999999999999)"
391.51300000000003,421.465,"(-0.041899999999999986, 0.05390000000000003)","(-0.06059999999999999, 0.029099999999999987)","(-0.0776, 0.02299999999999999)"
398.109,428.091,"(-0.041899999999999986, 0.05390000000000003)","(-0.06059999999999999, 0.029)","(-0.0776, 0.02209999999999998)"
398.10900000000004,428.091,"(-0.041899999999999986, 0.05390000000000003)","(-0.06059999999999999, 0.029)","(-0.0776, 0.02209999999999998)"
405.00699999999995,434.777,"(-0.041899999999999986, 0.0544)","(-0.06059999999999999, 0.030700000000000005)","(-0.07659999999999999, 0.02299999999999999)"
407.881,437.531,"(-0.041899999999999986, 0.0544)","(-0.06059999999999999, 0.030700000000000005)","(-0.07959999999999999, 0.02299999999999999)"
410.361,440.344,"(-0.041899999999999986, 0.0544)","(-0.06059999999999999, 0.030700000000000005)","(-0.07959999999999999, 0.02299999999999999)"
413.72,440.85900000000004,"(-0.041899999999999986, 0.0544)","(-0.05980000000000001, 0.030700000000000005)","(-0.07959999999999999, 0.02299999999999999)"
441.403,443.37,"(-0.027400000000000008, 0.0517)","(-0.05489999999999999, 0.0325)","(-0.0703, 0.0252)"
420.255,440.859,"(-0.0387, 0.0544)","(-0.05980000000000001, 0.030700000000000005)","(-0.07959999999999999, 0.02299999999999999)"
441.403,446.577,"(-0.0402, 0.0517)","(-0.0571, 0.0325)","(-0.0775, 0.0252)"
447.181,450.237,"(-0.0374, 0.053700000000000025)","(-0.052599999999999994, 0.027600000000000013)","(-0.0702, 0.02399999999999999)"
420.255,440.85900000000004,"(-0.0387, 0.0544)","(-0.05980000000000001, 0.030700000000000005)","(-0.07959999999999999, 0.02299999999999999)"
447.181,450.23699999999997,"(-0.0374, 0.053700000000000025)","(-0.052599999999999994, 0.027600000000000013)","(-0.0702, 0.02399999999999999)"
426.851,440.859,"(-0.0387, 0.0544)","(-0.05980000000000001, 0.030700000000000005)","(-0.07959999999999999, 0.02299999999999999)"
447.181,456.773,"(-0.0403, 0.054999999999999986)","(-0.06119999999999999, 0.032299999999999995)","(-0.0756, 0.02399999999999999)"
429.906,440.85900000000004,"(-0.0387, 0.0544)","(-0.05980000000000001, 0.029400000000000013)","(-0.07959999999999999, 0.02210000000000001)"
447.181,459.284,"(-0.0403, 0.054999999999999986)","(-0.06119999999999999, 0.0335)","(-0.0756, 0.024000000000000018)"
435.624,440.859,"(-0.0387, 0.04879999999999998)","(-0.0572, 0.029400000000000013)","(-0.07959999999999999, 0.02210000000000001)"
447.181,465.576,"(-0.04219999999999999, 0.054999999999999986)","(-0.06119999999999999, 0.0335)","(-0.07600000000000001, 0.024000000000000018)"
435.624,440.85900000000004,"(-0.0387, 0.04879999999999998)","(-0.0572, 0.029400000000000013)","(-0.07959999999999999, 0.02210000000000001)"
447.181,465.57599999999996,"(-0.04219999999999999, 0.054999999999999986)","(-0.06119999999999999, 0.0335)","(-0.07600000000000001, 0.024000000000000018)"
442.159,446.577,"(-0.0402, 0.0476)","(-0.0571, 0.025100000000000008)","(-0.0775, 0.020000000000000014)"
447.181,472.02,"(-0.04219999999999999, 0.054999999999999986)","(-0.06119999999999999, 0.0335)","(-0.07600000000000001, 0.024000000000000018)"
445.275,446.577,"(-0.0402, 0.0466)","(-0.0571, 0.023799999999999988)","(-0.0775, 0.020000000000000014)"
447.181,475.19699999999995,"(-0.04219999999999999, 0.054999999999999986)","(-0.06119999999999999, 0.0335)","(-0.07600000000000001, 0.024000000000000018)"
448.603,478.585,"(-0.04219999999999999, 0.05629999999999999)","(-0.06319999999999999, 0.0335)","(-0.07600000000000001, 0.02460000000000001)"
452.173,482.156,"(-0.04219999999999999, 0.05629999999999999)","(-0.06319999999999999, 0.0335)","(-0.07600000000000001, 0.02460000000000001)"
458.557,488.267,"(-0.04219999999999999, 0.05629999999999999)","(-0.06319999999999999, 0.0335)","(-0.07600000000000001, 0.02460000000000001)"
461.341,491.171,"(-0.04279999999999999, 0.05629999999999999)","(-0.06319999999999999, 0.031399999999999983)","(-0.07680000000000001, 0.02460000000000001)"
465.093,482.459,"(-0.038499999999999986, 0.05629999999999999)","(-0.06319999999999999, 0.031399999999999983)","(-0.07570000000000003, 0.02460000000000001)"
483.003,494.772,"(-0.04279999999999999, 0.05190000000000003)","(-0.060800000000000014, 0.029599999999999987)","(-0.07680000000000001, 0.0244)"
467.755,482.459,"(-0.038499999999999986, 0.05629999999999999)","(-0.06319999999999999, 0.031399999999999983)","(-0.07570000000000003, 0.02460000000000001)"
483.00300000000004,497.73699999999997,"(-0.04279999999999999, 0.05190000000000003)","(-0.060800000000000014, 0.030200000000000005)","(-0.07680000000000001, 0.0244)"
473.927,482.459,"(-0.038499999999999986, 0.05629999999999999)","(-0.06319999999999999, 0.028600000000000018)","(-0.07570000000000003, 0.02460000000000001)"
483.003,503.606,"(-0.04279999999999999, 0.05349999999999997)","(-0.060800000000000014, 0.030200000000000005)","(-0.07680000000000001, 0.0247)"
473.92699999999996,482.459,"(-0.038499999999999986, 0.05629999999999999)","(-0.06319999999999999, 0.028600000000000018)","(-0.07570000000000003, 0.02460000000000001)"
483.00300000000004,503.606,"(-0.04279999999999999, 0.05349999999999997)","(-0.060800000000000014, 0.030200000000000005)","(-0.07680000000000001, 0.0247)"
480.461,510.444,"(-0.04279999999999999, 0.05349999999999997)","(-0.060800000000000014, 0.030200000000000005)","(-0.07680000000000001, 0.0247)"
483.48699999999997,513.197,"(-0.04279999999999999, 0.05349999999999997)","(-0.060800000000000014, 0.030200000000000005)","(-0.07709999999999999, 0.0247)"
